time: 2022-05-25 13:44:40,541, function: Data_Viz, module: scripts.visualization_logger, message: Data vizualization function succesfully initialized!!! 

time: 2022-05-25 13:44:47,503, function: plot_box2, module: scripts.visualization_logger, message: Box plotting successfuly done!!! 

time: 2022-05-25 13:45:19,659, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 13:45:53,519, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 13:45:53,843, function: plot_box2, module: scripts.visualization_logger, message: Box plotting successfuly done!!! 

time: 2022-05-25 13:45:56,372, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 13:45:58,787, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 13:46:33,397, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 13:47:07,924, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 13:47:10,554, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 13:47:11,015, function: plot_box2, module: scripts.visualization_logger, message: Box plotting successfuly done!!! 

time: 2022-05-25 15:41:58,873, function: Data_Viz, module: scripts.visualization_logger, message: Data vizualization function succesfully initialized!!! 

time: 2022-05-25 15:45:17,995, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 15:51:06,204, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 15:54:03,857, function: Data_Viz, module: scripts.visualization_logger, message: Data vizualization function succesfully initialized!!! 

time: 2022-05-25 15:54:11,981, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 15:58:23,043, function: Data_Viz, module: scripts.visualization_logger, message: Data vizualization function succesfully initialized!!! 

time: 2022-05-25 15:58:30,875, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 16:00:18,455, function: Data_Viz, module: scripts.visualization_logger, message: Data vizualization function succesfully initialized!!! 

time: 2022-05-25 16:00:26,439, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 17:02:22,365, function: Data_Viz, module: scripts.visualization_logger, message: Data vizualization function succesfully initialized!!! 

time: 2022-05-25 17:02:39,966, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 17:22:21,590, function: Data_Viz, module: scripts.visualization_logger, message: Data vizualization function succesfully initialized!!! 

time: 2022-05-25 17:22:28,712, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

time: 2022-05-25 17:27:48,577, function: Data_Viz, module: scripts.visualization_logger, message: Data vizualization function succesfully initialized!!! 

time: 2022-05-25 17:27:55,841, function: summ_columns, module: scripts.visualization_logger, message: Summing columns successfuly done!!! 

